IL96KSxK3ov1m-1WQV8MLQ,Small Point Café,58,4.0,Providence,RI
5-CBlgbYGp5yF4S5JUqihA,Claremont Craft Ales,9,5.0,Claremont,CA
rCEKpvSgGLS69eKUC-tJLw,Pay Less Super Markets,2,3.5,West Lafayette,IN
Fyt6hR6JKqv28ESKMMZSnw,El Coloso Market,2,4.0,Cambridge,MA
5vAtunQlPFkfdTI9zn4TIw,Pitruco Pizza,42,4.5,Philadelphia,PA
w-1y9XaoreYJAJHWhSskNg,Cumberland Farms,2,4.5,Amherst,MA
B-qruWFhAxcAEULGT1BqFQ,Starbucks Coffee,3,3.5,Providence,RI
UZJ361wkdyZfxWax3oc3rg,Brookline Lunch,185,4.0,Cambridge,MA
I0P73yIZ7Nyq7xiiyxpDTQ,La Grande Supermarket,2,4.0,Riverdale,MD
qJlxSq0-DXrSrYyYv7Vh_w,Ben & Jerry's,12,3.5,Houston,TX
r0J5CMshYZN5-smJQtGUXA,7 Eleven,9,4.0,Austin,TX
LPiz-ewJ8DCf5M2XDdSCPg,Sigona's Farmers Market,114,4.5,Palo Alto,CA
2ih_H-GwfPd2qVtGQuOztQ,Hai's Food and Lemonade Stand,13,4.0,Austin,TX
41vMyjV0DJn3PckgHPDX8w,Baskin Robbins,7,3.0,Los Angeles,CA
3fV1JsA8tkhULXAT4O3-_w,Garam Masala,80,3.0,Seattle,WA
vQaei8xkH8u2W5gHToRcXw,Elsabet Cafe,13,3.0,New York,NY
3vTFn7A5DsnwGzYlrnN-sw,Manos Diner,17,3.0,Ithaca,NY
1cGyzWtfOoDiE8V0OR85yA,Crepes Parisiennes,23,3.5,Pittsburgh,PA
nvBqjX3O6RQRWHLc2B1GUQ,Yoforia,57,4.0,Atlanta,GA
Hz1F5uruPe1kCsf5PIA6Sg,Dave & Andy's,102,4.5,Pittsburgh,PA
6gESOYIgGbWT1oa7zRYT_w,Peet's Coffee & Tea,18,4.0,San Diego,CA
T6YKL1wsPRfRhvseX9uNyQ,Chassom Tea Salon,4,5.0,Pasadena,CA
TgWlYYP6G1Lm1Hyv8RRiKw,Einstein Bros Bagels,26,2.5,Pasadena,CA
DO1Ukiuia9hs33VTnTY_Jg,Free Speech Movement Cafe,143,3.5,Berkeley,CA
ZMqhKMjtdqVZLw11ja3ANg,Crepes A-Go Go,158,4.0,Berkeley,CA
cD0GE2z4Kcbrd8_UgdcYQA,Hurricane Spud,9,3.0,Seattle,WA
onDf8lQx3OdutD6FgYw3Yg,Full Tilt Ice Cream,109,4.0,Seattle,WA
lyrP5tTKsQj7EZ04twI4sg,Sullivan's Rhode,8,2.5,Providence,RI
wDvMXRAMELn6tb-s6aA_DA,Matter of Taste,4,5.0,Waterloo,ON
iShXa17Ndl2KEZ5b55ZY3g,Sakura Seafood and Supreme Buffet,30,3.5,College Park,MD
IphgSh-qmohpfgzA4Me-9Q,Tenth Street Chevron Food Mart,2,2.5,Atlanta,GA
-u1ejFE1S8U97r-LQTxbrg,Starbucks,57,2.5,Los Angeles,CA
78kUZU8GPfHgoYO_2CNbuQ,Ben & Jerry's,11,3.5,Philadelphia,PA
dtesrJjWXSIecOchzOcrfQ,Collegetown Bagels,10,3.5,Ithaca,NY
K6AKMjAdCSe8xllsbyeL9Q,Asia Tea House,2,4.0,Pittsburgh,PA
pqKzfHA1WywuLWpfa1WJYg,MOKA Cafe,10,4.5,Pasadena,CA
jecTDPfOsDVhVo2mHskcfA,Jamba Juice,24,3.5,Palo Alto,CA
ZCZp_L3TJ7LfI-SWBEwi7g,Middle of Muir,5,5.0,La Jolla,CA
B_qwDUp23X42BxFUJHHd5Q,Entropy,2,3.0,Pittsburgh,PA
qjhfgQItHvBBpkYzQBefaw,Fat Belly's Pub,35,3.5,Providence,RI
